Name,Status,URL,유형,제공 기관,지역,지원 날짜,지원 내용,지원 시기
Claude Community Ambassadors,Applied,https://claude.com/community/ambassadors,커뮤니티 지원,Anthropic,글로벌,"March 7, 2026",API credits + event support,상시
공익 콘텐츠 지원 사업,Drop,https://change.beautifulfund.org/12913/2026-%ea%b3%b5%ec%9d%b5-%ec%bd%98%ed%85%90%ec%b8%a0-%ec%a0%9c%ec%9e%91-%ec%a7%80%ec%9b%90%ec%82%ac%ec%97%85-2026-4-3-%ec%a0%91%ec%88%98%eb%a7%88%ea%b0%90/,지원금,아름다운재단,한국,,사업비 최대 800만원 (운영인건비 200만원 포함)*운영인건비는 사업담당자 인건비만 책정 가능,2026. 4. 3. 17시 접수마감
오픈스퀘어-D,Considering,https://www.data.go.kr/osd/opensquare.do,컨설팅/교육,행정안전부,한국,,"공공데이터 활용 컨설팅, 공공데이터 활용 및 AI 교육",상시
작은연구 지원사업,Tracking,https://www.si.re.kr/bbs/view.do?key=2024100044&pstSn=2503120008,지원금,서울연구원,한국,,500만 원 이내 연구 지원금,3월 중순 경
D2 커뮤니티 지원,Tracking,https://developers.naver.com/d2/community/,커뮤니티 지원,네이버,한국,,"스터디 · 세미나 장소 지원, 컨퍼런스 운영 비용 지원, 클라우드 서버 지원, 기타 협의","2월, 8월"
풀꽃,Rejected,https://koreashe.org/board/?mode=view&board_id=22&post_id=95296,지원금,숲과나눔 재단,한국,"March 4, 2026","사업비 최대 1,000만원 지원",3월
사회적 임팩트 측정 집중 실험실,Drop,https://seoulpa.kr/home/kor/M734735249/center/business/view.do?idx=cb00d1a0008a85e71a41b8741facbffef392cb8c209e6caff776ab0ea96cf273&eSearchValue1=&searchValue2=&searchValue3=0&searchKeyword=&searchValue10=B&pageIndex=1,컨설팅/교육,NPO 지원센터,한국,,"① 주제별 전문가 특화교육
② 실행지원
- 전문가 1:1 맞춤형 컨설팅
- 자원 지원(임팩트 리포트 제작 등)
③ 센터 자산 활용 홍보 지원
④ 서울시공익활동지원센터 공간 대관",26년 3월 20일 17:00까지
당신 옆의 공익활동,Accepted,https://seoulpa.kr/home/kor/M734735249/center/business/view.do?idx=cb00d1a0008a85e71a41b8741facbffefa284f7a01d745bcb6a728d85db293af&eSearchValue1=&searchValue2=&searchValue3=0&searchKeyword=&searchValue10=B&pageIndex=1,지원금,서울시 공익활동지원센터,한국,,"활동 조직형 70만원 활동비 지원, 공간 지원, 커뮤니티 기획 교육, 네트워킹",26년 3월 15일 23:59까지
비영리스타트업 도전 트랙,Tracking,https://asan-nanum.org/notice/2025-asan-nps-2-open/,지원금,아산나눔재단,한국,,프로젝트 후원금 500만원,"6월 중순 공고, 7월 초 마감"
기데활공,Tracking,https://www.seoulpa.kr/home/kor/M734735249/center/business/view.do?idx=cb00d1a0008a85e71a41b8741facbffe79f28c3ec016063db94f25ebb6e7e0ac&eSearchValue1=&searchValue2=&searchValue3=0&searchKeyword=&searchValue10=B&pageIndex=1,지원금,서울시 공익활동지원센터,한국,,단체 당 약 500만원 지원(간접지원),4월 20일 마감
